job_title,company_name,location,is_remote,salary_min,salary_max,skills_required,experience,date_posted,job_url,description
Power BI Senior Engineer,SEI1GLOBAL,Kolkata,False,,,,,2026-03-27T00:00:00.000Z,https://careers.seic.com/uk/en/job/R0035755/Power-BI-Senior-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"SEI is looking for a talented and detail-oriented Power BI Developer (Software Engineer III) to join our team. In this role, you will design, develop, deploy and maintain scalable BI solutions using Microsoft Power BI. You will collaborate closely with multiple stakeholders to understand reporting n"
Data & Business Intelligence Analyst - UPS Digital MARTEC,UPS,Chennai,False,,,,,2026-03-21T00:00:00.000Z,https://www.jobs-ups.com/imea/en/job/R26006216/Data-Business-Intelligence-Analyst-UPS-Digital-MARTEC,"Before you apply to a job, select your language preference from the options available at the top right of this page.

Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you be"
Data Analytics (SQL + Power BI),Uplers,IN,False,,,,,2026-04-04T00:00:00.000Z,https://www.shine.com/jobs/data-analytics-sql-power-bi/uplers/18886322,"You are being sought after by Bajaj Finserv for the role of Data Analyst with specific skill sets and experience. As a Data Analyst, you will be responsible for driving data-related deliveries, interacting with Product teams, and contributing individual efforts to multiple projects simultaneously. Y"
Power BI (Data Analyst) Consultant,7N,Bengaluru,False,,,,,2026-03-27T00:00:00.000Z,"https://www.glassdoor.co.in/job-listing/power-bi-data-analyst-consultant-7n-JV_IC2940587_KO0,32_KE33,35.htm?jl=1010013748241","Mandatory Skills:

• Technical skills, Independent and can go figure out the blank technical aspect with the stakeholder in GBS to bridge knowledge gap

Roles & Responsibilities

• The organization has many data system: Haystack, Databrick, Snowflake

• A legacy solution was built for APAC, mostly i"
Power BI Developer,EVERSANA,Pimpri-Chinchwad,False,,,,,2026-03-22T00:00:00.000Z,https://in.linkedin.com/jobs/view/power-bi-developer-at-eversana-4388685517,"At EVERSANA, we are proud to be certified as a Great Place to Work across the globe. We’re fueled by our vision to create a healthier world. How? Our global team of more than 7,000 employees is committed to creating and delivering next-generation commercialization services to the life sciences indus"
"Senior Software Engineer - Powe BI dashboard developer, data analyst with SQL Database",Quest Global,Hyderabad,False,,,,,2026-04-10T23:00:00.000Z,https://careers.quest-global.com/global/en/job/P-116471/Senior-Software-Engineer-Powe-BI-dashboard-developer-data-analyst-with-SQL-Database,"Job Requirements

Tools & Technologies:
• Power BI (Primary Skill)
• SQL Databases
• Microsoft Excel (Advanced)
• Tableau (Secondary / Nice to Have)
• Python (Optional Advantage)

Job Summary:

We are seeking a detail-oriented mid-level Data Analyst to support operations and engineering program mana"
Junior BI Platforms (Power BI & Cognos) Engineer,EXL,IN,False,,,,,2026-04-03T00:00:00.000Z,https://in.linkedin.com/jobs/view/junior-bi-platforms-power-bi-cognos-engineer-at-exl-4366779054,"We are looking for a BI Platform & Cloud Analytics Engineer to design, deploy, and operate enterprise reporting platforms such as IBM Cognos Analytics and Microsoft Power BI / Fabric using cloud-native, automated, and scalable platform technologies. This role bridges BI, Cloud Infrastructure, Kubern"
Power BI Developer,Alight,Gurugram,False,,,,,2026-04-10T23:00:00.000Z,https://careers.alight.com/us/en/job/ALIGUSR36027EXTERNALENUS/Power-BI-Developer,"Job Description

Our story

At Alight, we believe a company’s success starts with its people. At our core, we Champion People, help our colleagues Grow with Purpose and true to our name we encourage colleagues to “Be Alight.”

Our Values:

Champion People – be empathetic and help create a place wher"
Power BI Data Analyst Intern,Abdul Latif Jameel,Jamnagar,False,,,,,2026-04-01T00:00:00.000Z,https://bebee.com/in/jobs/power-bi-data-analyst-intern-abdul-latif-jameel-jamnagar--tideri-07583601-b83b-4e15-9b08-6a798abea7a1,"PMO Intern – Data Specialist (Power BI & Data Warehouse)

We are looking for a motivated PMO Intern – Data Specialist to support the Corporate Digital & IT Project Management Office. The intern will assist in designing and maintaining data warehouse solutions and developing Power BI dashboards that "
Remote Data Analyst with SQL,Turing,IN,False,,,,,2026-03-19T00:00:00.000Z,https://www.shine.com/jobs/remote-data-analyst-with-sql/turing/18788063,"Role Overview:
You will be part of a team at Turing, based in San Francisco, California, that focuses on accelerating frontier research in AI labs and supporting global enterprises in deploying advanced AI systems. Your role as a Data Analyst (MLE Bench) will involve contributing to benchmark-driven"
